hour_index,time_hours,r_solar_radii,speed_km_s,gamma_km_inv,n_obs,v_obs,gamma_fellback
0,0.000000,21.500000,800.000,1.080000E-008,2.700,368.000,0
1,1.000000,25.617388,791.432,1.520000E-008,3.800,418.000,0
2,2.000000,29.694161,784.284,1.320000E-008,3.300,411.000,0
3,3.000000,33.735152,777.598,1.280000E-008,3.200,403.000,0
4,4.000000,37.742140,771.140,1.280000E-008,3.200,398.000,0
5,5.000000,41.713774,763.943,1.480000E-008,3.700,392.000,0
6,6.000000,45.640753,753.927,2.160000E-008,5.400,414.000,0
7,7.000000,49.515063,743.595,2.360000E-008,5.900,419.000,0
8,8.000000,53.331967,731.776,2.880000E-008,7.200,435.000,0
9,9.000000,57.098067,723.885,2.040000E-008,5.100,430.000,0
10,10.000000,60.826186,717.082,1.840000E-008,4.600,419.000,0
11,11.000000,64.517654,709.728,2.080000E-008,5.200,411.000,0
12,12.000000,68.171247,702.444,2.160000E-008,5.400,399.000,0
13,13.000000,71.781454,693.001,2.960000E-008,7.400,398.000,0
14,14.000000,75.358285,689.459,1.160000E-008,2.900,423.000,0
15,15.000000,78.917010,686.002,1.160000E-008,2.900,428.000,0
16,16.000000,82.456859,682.167,1.320000E-008,3.300,441.000,0
17,17.000000,85.977712,678.657,1.240000E-008,3.100,444.000,0
18,18.000000,89.481481,675.561,1.120000E-008,2.800,463.000,0
19,19.000000,92.968848,672.319,1.200000E-008,3.000,454.000,0
20,20.000000,96.439365,669.049,1.240000E-008,3.100,439.000,0
21,21.000000,99.893956,666.161,1.120000E-008,2.800,446.000,0
22,22.000000,103.333766,663.335,1.120000E-008,2.800,448.000,0
23,23.000000,106.757581,659.983,1.360000E-008,3.400,438.000,0
24,24.000000,110.163775,656.526,1.440000E-008,3.600,438.000,0
25,25.000000,113.552797,653.344,1.360000E-008,3.400,438.000,0
26,26.000000,116.920641,648.361,2.200000E-008,5.500,418.000,0
27,27.000000,120.265446,644.427,1.800000E-008,4.500,413.000,0
28,28.000000,123.589997,640.533,1.840000E-008,4.600,407.000,0
29,29.000000,126.891768,635.636,2.400000E-008,6.000,390.000,0
30,30.000000,130.165500,629.712,3.040000E-008,7.600,376.000,0
31,31.000000,133.407252,623.286,3.480000E-008,8.700,384.000,0
32,32.000000,136.617207,617.414,3.360000E-008,8.400,423.000,0
33,33.000000,139.795191,610.942,3.920000E-008,9.800,444.000,0
34,34.000000,142.938918,604.182,4.360000E-008,10.900,469.000,0
35,35.000000,146.054315,599.949,2.880000E-008,7.200,472.000,0
36,36.000000,149.151898,597.279,1.880000E-008,4.700,481.000,0
37,37.000000,152.235423,594.516,2.000000E-008,,,1
38,37.418333,153.521159,593.383,2.000000E-008,,,1
